genre,movie,top_50_rank
Film-Noir,tt0038669,41
Film-Noir,tt0051207,42
Film-Noir,tt0040525,43
Film-Noir,tt0043338,44
Film-Noir,tt0043516,45
Film-Noir,tt0043142,46
Film-Noir,tt0024188,47
Film-Noir,tt0039666,48
Film-Noir,tt0042046,49
Film-Noir,tt0042041,50
Talk-Show,tt4154754,1
Talk-Show,tt27454929,2
Talk-Show,tt12312374,3
Talk-Show,tt27627729,4
Talk-Show,tt8756820,5
Talk-Show,tt12402874,6
Talk-Show,tt27050308,7
Talk-Show,tt19394856,8
Talk-Show,tt27642577,9
Talk-Show,tt0379585,10
Talk-Show,tt8647102,11
Talk-Show,tt5230078,12
Talk-Show,tt4667230,13
Talk-Show,tt12874922,14
Talk-Show,tt13743524,15
Talk-Show,tt10981104,16
Talk-Show,tt21186274,17
Talk-Show,tt22334546,18
Talk-Show,tt8479352,19
Talk-Show,tt13918300,20
Talk-Show,tt14695704,21
Talk-Show,tt22353326,22
Talk-Show,tt14322202,23
Talk-Show,tt16992574,24
Talk-Show,tt14866920,25
Talk-Show,tt26705851,26
Talk-Show,tt8452782,27
Talk-Show,tt5662208,28
Talk-Show,tt12088784,29
Talk-Show,tt9673226,30
Talk-Show,tt10538532,31
Talk-Show,tt3828854,32
Talk-Show,tt8466108,33
Talk-Show,tt10246354,34
Talk-Show,tt12993324,35
Talk-Show,tt15427762,36
Talk-Show,tt14547938,37
Talk-Show,tt18573556,38
